State,District,Year,Outbreaks,Susceptible,Attacks,Deaths
MADHYA PRADESH,Betul,2020,1,1139,3,2
JHARKHAND,Pakur,2021,0,0,142,0
KERALA,Thiruvananthapuram,2020,1,0,1,1
ASSAM,Chirang,2021,1,27,2,2
ASSAM,Kamrup Metropolitan,2021,1,52,20,18
ASSAM,Nalbari,2021,1,12,3,3
JHARKHAND,Purbi Singhbhum,2022,1,0,2,0
ASSAM,Darrang,2021,1,19,1,1
JHARKHAND,Latehar,2022,1,0,1,1
KARNATAKA,Mysore,2020,1,0,2,2
ODISHA,Koraput,2021,1,260,1,1
JHARKHAND,Chatra,2022,1,0,2,0
ANDHRA PRADESH,Y.S.R.,2023,1,3000,5,5
KARNATAKA,Kolar,2020,1,0,1,1
KARNATAKA,Tumkur,2021,1,0,1,1
ANDHRA PRADESH,Y.S.R.,2022,1,1300,4,4
KARNATAKA,Davanagere,2022,1,0,1,1
KARNATAKA,Davanagere,2023,1,0,43,43
KARNATAKA,Bellary,2022,1,0,12,9
KARNATAKA,Bellary,2023,1,0,6,6
ANDHRA PRADESH,Kurnool,2023,1,3600,1,1
TAMIL NADU,Namakkal,2023,1,690,1,1
MAHARASHTRA,Pune,2020,1,300,20,5
KARNATAKA,Koppal,2021,1,0,14,14
KARNATAKA,Bellary,2022,1,0,8,8
KARNATAKA,Koppal,2020,1,0,2,2
KARNATAKA,Chikkaballapura,2022,1,0,1,1
KARNATAKA,Bellary,2020,1,0,6,6
ANDHRA PRADESH,Kurnool,2022,1,4400,1,1
TELANGANA,Warangal,2022,2,7333,7,7
TELANGANA,Nalgonda,2023,1,0,4,4
ANDHRA PRADESH,Kurnool,2021,1,8000,1,1
KARNATAKA,Bagalkot,2022,1,0,10,8
TELANGANA,Warangal,2022,2,0,7,7
TELANGANA,Mahabubabad,2022,1,0,5,5
KARNATAKA,Davanagere,2023,1,0,7,7
KARNATAKA,Vijayanagara,2023,1,0,4,4
KARNATAKA,Bagalkot,2022,1,0,8,8
TAMIL NADU,Ramanathapuram,2020,1,862,8,4
KARNATAKA,Haveri,2021,1,0,6,6
KARNATAKA,Bellary,2022,1,0,15,3
KARNATAKA,Bellary,2023,1,0,7,7
ANDHRA PRADESH,Kurnool,2023,1,20666,1,1
ANDHRA PRADESH,Kurnool,2021,1,3000,7,7
KARNATAKA,Davanagere,2023,1,0,1,1
ANDHRA PRADESH,Nandyal,2023,1,3000,3,3
TELANGANA,Warangal,2023,1,8614,2,2
KARNATAKA,Vijayanagara,2023,1,0,15,15
ANDHRA PRADESH,Kurnool,2021,1,6000,12,12
ANDHRA PRADESH,Y.S.R.,2021,1,11090,67,17
ANDHRA PRADESH,Y.S.R.,2022,1,2000,2,2
KARNATAKA,Bagalkot,2022,1,0,2,2
ANDHRA PRADESH,Sri Potti Sriramulu Ne,2022,1,6000,2,0
TAMIL NADU,Tiruchirappalli,2021,1,685,1,1
KERALA,Wayanad,2021,1,6234,1,1
ANDHRA PRADESH,Anantapur,2020,1,6000,20,20
ODISHA,Koraput,2023,1,94,1,1
KARNATAKA,Dharwad,2020,1,0,1,1
TAMIL NADU,Viluppuram,2020,1,2498,8,8
TAMIL NADU,Dharmapuri,2020,1,1100,6,6
TAMIL NADU,Salem,2020,1,6206,69,37
TAMIL NADU,Salem,2022,1,3814,3,3
TAMIL NADU,Salem,2022,1,3621,3,3
ODISHA,Balangir,2023,1,239,7,4
ODISHA,Sambalpur,2023,1,258,10,9
TAMIL NADU,Dharmapuri,2020,1,2527,1,1
TAMIL NADU,Dharmapuri,2020,1,1502,9,9
TAMIL NADU,Dharmapuri,2020,1,513,18,18
TAMIL NADU,Vellore,2020,1,1200,4,4
TAMIL NADU,Viluppuram,2020,1,1050,2,2
TAMIL NADU,Salem,2021,1,1927,4,4
TAMIL NADU,Viluppuram,2021,1,923,1,1
TAMIL NADU,Vellore,2022,1,1145,2,2
KERALA,Thrissur,2021,1,976,1,1
ODISHA,Koraput,2021,1,260,1,1
ASSAM,Biswanath,2023,1,0,2,2
KERALA,Thiruvananthapuram,2020,1,1556,1,1
TAMIL NADU,Viluppuram,2020,1,976,4,4
KERALA,Kozhikode,2022,1,0,1,1
TAMIL NADU,Viluppuram,2020,1,1039,2,2
TAMIL NADU,Coimbatore,2021,1,0,1,1
KERALA,Palakkad,2021,1,14970,1,1
ANDHRA PRADESH,Sri Potti Sriramulu Ne,2021,1,550,1,1
ANDHRA PRADESH,Y.S.R.,2020,1,4825,2,2
ANDHRA PRADESH,Y.S.R.,2023,1,2300,10,4
ANDHRA PRADESH,Y.S.R.,2020,1,2900,14,14
ANDHRA PRADESH,Nellore,2023,1,0,1,3
ANDHRA PRADESH,Kurnool,2020,1,2400,3,3
TAMIL NADU,Dindigul,2021,1,500,1,1
KERALA,Thrissur,2022,1,1071,7,7
