State Name	District Name	Disease Name	Month	Predicted	Outcome
MAHARASHTRA	Amravati	Peste des petits ruminants	November	Very High Risk	
MAHARASHTRA	Ahmadnagar	Foot and mouth disease	November	Very High Risk	
MAHARASHTRA	Akola	African Swine Fever	November	Very High Risk	
MAHARASHTRA	Akola	Lumpy Skin Diseases	November	Very High Risk	
MAHARASHTRA	Satara	Haemorrhagic septicaemia	November	Very High Risk	
MAHARASHTRA	Ahmadnagar	Peste des petits ruminants	November	Very High Risk	
MAHARASHTRA	Akola	Theileriosis	November	Very High Risk	
MAHARASHTRA	Dhule	Peste des petits ruminants	November	Very High Risk	
MAHARASHTRA	Latur	Foot and mouth disease	November	Very High Risk	
MAHARASHTRA	Nashik	Peste des petits ruminants	November	Very High Risk	
MAHARASHTRA	Osmanabad	Foot and mouth disease	November	Very High Risk	
MAHARASHTRA	Pune	Foot and mouth disease	November	Very High Risk	
MAHARASHTRA	Sangli	Foot and mouth disease	November	Very High Risk	
MAHARASHTRA	Solapur	Foot and mouth disease	November	Very High Risk	
MAHARASHTRA	Yavatmal	Foot and mouth disease	November	Very High Risk	
MAHARASHTRA	Ahmadnagar	Sheep & Goat pox	November	Very High Risk	
MAHARASHTRA	Ahmadnagar	Classical Swine fever	November	Very High Risk	
MAHARASHTRA	Akola	Trypanosomiasis	November	Very High Risk	
MAHARASHTRA	Akola	Avian Influenza	November	Very High Risk	
MAHARASHTRA	Amravati	Sheep & Goat pox	November	Very High Risk	
MAHARASHTRA	Amravati	Classical Swine fever	November	Very High Risk	
MAHARASHTRA	Dhule	Sheep & Goat pox	November	Very High Risk	
MAHARASHTRA	Dhule	Classical Swine fever	November	Very High Risk	
MAHARASHTRA	Nashik	Sheep & Goat pox	November	Very High Risk	
MAHARASHTRA	Nashik	Classical Swine fever	November	Very High Risk	
MAHARASHTRA	Solapur	Haemorrhagic septicaemia	November	Very High Risk	
MAHARASHTRA	Sangli	Haemorrhagic septicaemia	November	Very High Risk	
